ogc_fid,lat,lon,rooms,bedrooms,bathrooms,surface_to,surface_co,price,pm2
211,-34.7649243,-58.3984736,4,,2,135,135,440000,3259.25925925926
212,-34.6307921,-58.4649417,1,0,1,35,31,74000,2387.09677419355
213,-34.6319328,-58.3630468,1,1,1,31,31,54900,1770.96774193548
214,-34.6124581,-58.4033175,2,1,1,42,37,69000,1864.86486486486
215,-34.4349751,-58.7935023,2,1,1,93,64,252000,3937.5
216,-34.4349751,-58.7935023,2,1,1,77,65,231000,3553.84615384615
217,-34.444633312,-58.9816060979,1,1,1,35,35,73000,2085.71428571429
218,-34.4328755,-58.8154647,2,1,1,40,40,65000,1625
219,-34.4266622589,-58.566440574,2,1,1,48,42,128059,3049.02380952381
220,-34.4264144674,-58.5662689126,2,1,1,57,49,167485,3418.0612244898
221,-34.4267897918,-58.6610103301,2,1,1,67,53,150000,2830.18867924528
222,-34.3950128582,-58.649225581,2,1,2,90,50,220000,4400
223,-34.4267861544,-58.5663332856,2,1,1,53,46,145000,3152.17391304348
224,-34.4145638631,-58.5924365437,2,1,2,65,57,145000,2543.85964912281
225,-34.4288259,-58.5844425,2,1,1,56,50,125200,2504
226,-34.4266799583,-58.5664620316,2,1,1,53,46,152500,3315.21739130435
227,-34.4145638631,-58.5924365437,2,1,2,65,57,143000,2508.77192982456
228,-34.4267897918,-58.6610103301,2,1,1,56,47,110000,2340.42553191489
229,-34.6316231,-58.4647418,2,1,1,48,45,109000,2422.22222222222
230,-34.6607802209,-58.6227989538,2,1,1,38,38,55000,1447.36842105263
231,-34.5580186,-58.4629841,2,1,1,35,35,105000,3000
232,-34.5577652321,-58.4696985148,1,1,1,32,29,135000,4655.1724137931
233,-34.5432497321,-58.4630005807,2,1,1,34,34,110000,3235.29411764706
234,-34.6082829,-58.4278318,2,1,1,50,45,145000,3222.22222222222
235,-34.6090819008,-58.4263130921,3,1,2,62,58,230000,3965.51724137931
236,-34.6120994,-58.4117032,2,1,1,69,65,155000,2384.61538461538
237,-34.6053726,-58.4276083,2,1,1,56,50,143000,2860
238,-34.6362818,-58.528054,2,1,1,49,43,116000,2697.67441860465
239,-34.5824698,-58.4232882,2,1,1,112,56,204000,3642.85714285714
240,-34.5820400223,-58.4064021946,1,1,1,37,33,165000,5000
241,-34.5756929,-58.4345403,2,1,2,48,40,193000,4825
242,-34.5756929,-58.4345403,2,1,2,48,40,193000,4825
243,-34.5915619,-58.422269,2,1,1,67,40,145000,3625
244,-34.5949114,-58.4091604,2,1,1,65,37,165000,4459.45945945946
245,-34.5896963,-58.4233768,2,1,1,39,39,115000,2948.71794871795
246,-34.5824121,-58.4250217,1,1,1,42,39,175000,4487.17948717949
247,-34.632045,-58.371712,2,1,1,40,40,100000,2500
248,-34.5759017,-58.4738096224,2,1,2,66,50,239800,4796
249,-34.5680004,-58.4555318,1,1,1,40,38,150000,3947.36842105263
250,-34.5690658,-58.4531554,2,1,1,26,26,93000,3576.92307692308
253,-34.5932472,-58.3941055,2,1,1,35,35,150000,4285.71428571429
254,-34.5934185,-58.3976337,2,1,2,52,46,205000,4456.52173913043
255,-34.588550425,-58.3852459074,1,1,1,32,32,145000,4531.25
256,-34.5840179,-58.3997385,2,1,1,34,34,112000,3294.11764705882
257,-34.5883731772,-58.385588786,1,1,1,42,40,155000,3875
258,-34.5861429,-58.3895426,2,1,2,95,65,360000,5538.46153846154
259,-34.6101223,-58.4059406,2,1,1,63,48,135000,2812.5
260,-34.62013,-58.44329,2,1,1,48,48,124000,2583.33333333333
261,-34.6164037,-58.3786748,2,1,1,48,48,99000,2062.5
262,-34.5690658,-58.4531554,2,1,1,26,26,93000,3576.92307692308
263,-34.57928,-58.45441,2,1,1,41,38,140000,3684.21052631579
264,-34.6386828237,-58.5697942885,2,1,1,39,36,78000,2166.66666666667
265,-34.5967624,-58.421589,2,1,1,50,44,183000,4159.09090909091
266,-34.5687789,-58.4348233,2,1,1,48,48,140000,2916.66666666667
267,-34.4391337,-58.5542431,2,1,1,58,51,100000,1960.78431372549
268,-34.5969993059,-58.4415068505,2,1,2,63,60,170000,2833.33333333333
269,-34.6041471,-58.4559716,2,1,1,53,43,125000,2906.97674418605
270,-34.5972556,-58.4454984,2,1,1,38,35,84102,2402.91428571429
